question,answer,times_asked
"if yes, for current visa holders, please specify the type visa/sponsorship and the time remaining",,122.0
"si vous avez répondu oui à la question précédente, veuillez fournir svp votre numéro d'employé à 6 chiffres. |if yes to the previous question, please enter your 6-digit employee id.",,67.0
public burden statement according to the paperwork reduction act 1995 no persons are  to respond to a collection information unless such collection displays a valid omb control number. this survey should take about 5 minutes to complete.:,,54.0
your message to the hiring manager,,42.0
describe recent projects worked on at your current or previous job.,,35.0
are currently a paper employee:select an option^no^yes,,33.0
why are interested working at pachyderm and this role particular,,31.0
êtes-vous présentement à l'emploi de reitmans (canada) ltd.:yes^no,,28.0
êtes vous présentement admissible à travailler au canada:yes^no,,24.0
combien dannées dexpérience avez-vous dans ce secteur (recrutement),,24.0
who referred to this position,,21.0
please describe your salary expectations.,,21.0
what languages speak fluently,,20.0
"please read before attaching resumewe're excited that you're interested joining our amazing team here at medstack! we'd like share a few tips and tricks that will make your resume stand out and will help fare much better our hiring process.1. we encourage to be as specific as possible about the the work that were responsible for and how its relates to the role that are applying for at medstack. for example, what projects did work on, were a participant, did manage the project, what was the outcome and what types data did use to measure your work:done",,19.0
how did hear about connected,,18.0
"if chose other for how heard about this opportunity, please specify how heard about it/ si vous choisissez «autre» pour comment avez-vous entendu parler de cette opportunité, veuillez spécifier de quelle façon vous en avez entendu parler",,18.0
"if you're applying to be a canadian-based employee will now or the future require paper to commence (sponsor) an immigration case order to employ you:select an option^yes, i will require sponsorship^no, i will not require sponsorship^i'm not applying to be a canadian based employee",,18.0
"by checking this box, will declare that read and understand the averna privacy policy, and the smartrecruiters privacy policyand smartrecruiters terms use.i agree terms & conditions:i agree terms & conditions",,18.0
linkedprofile/ profile linkedin,,17.0
hadoop,,17.0
how did hear about us:select an option^campus recruiting - information session^campus recruiting - job fair^recruiter^c3job^eluta^glassdoor^google^indeed^jobboom^jobillico^linkedin^monster^naukri^neuvoo^talent.com^workopolis^ziprecruiter^other job board^lifeworks career website^other^previous employee^professional group - cebs^other professional group^facebook^instagram^twitter^youtube,,17.0
i agree to share my gender data ubisoft solely for analytics purposes regarding diversity.confirmed:confirmed,,17.0
oracle primavera,,17.0
today's datepublic burden statement according to the paperwork reduction act 1995 no persons are  to respond to a collection information unless such collection displays a valid omb control number. this survey should take about 5 minutes to complete.,,17.0
"by checking this box, will declare that read and understand the dentsu privacy policy, and the smartrecruiters privacy policyand smartrecruiters terms use.i agree terms & conditions:i agree terms & conditions",,17.0
"by checking this box, will declare that read and understand the arista networks privacy policy, and the smartrecruiters privacy policyand smartrecruiters terms use.i agree terms & conditions:i agree terms & conditions",,17.0
at least 5 years experience front-end development (react/redux/redux-saga):select an option^yes^no,,16.0
are legally entitled to work the country that this role is advertised in:select an option^no^yes,,16.0
the following license or certification sales management:yes^no,,16.0
what's your highest level education completed:select an option^ged or equivalent^high school^some college^college - associates^college - bachelor arts^college - bachelor fine arts^college - bachelor science^college - master arts^college - master science^college - master fine arts^college - master business administration^college - doctorate^medical doctor^other,,15.0
were aware sonder prior to applying:select an option^no^yes,,15.0
ever stayed a sonder property or considered us for travel accommodations:select an option^no^yes,,15.0
credit,,15.0
yearly salary expectations:select an option^yes^no,,15.0
"si vous recevez une offre d'emploi de reitmans (canada) ltd, vous consentez à respecter le processus de vérification d'emploi et de références. | if advanced to an offer employment reitmans canada limited, consent to respecting the employment verification and background check process.yesno:yes^no",,15.0
will now or the future require sponsorship to continue or extend your current work authorization status:select an option^no^yes,,15.0
currently full stack developer,,15.0
how did hear about sonder or this position:select an option^referred by a sonder employee^sonder recruiter^friend/word mouth^sonder's website^linkedin^indeed^glassdoor^social media^radio^agency^other,,15.0
mandatory what are your annual salary expectations,,15.0
kafka streams,,15.0
sas,,14.0
"technology, information and internet",,14.0
avez-vous un permis de conduire valide:oui^non,,14.0
will now or the future require sponsorship for employment visa status:select an option^no^yes,,14.0
sap products,,14.0
can work weekends:yes^no,,13.0
quelles sont vos disponibilités en termes d'horaires de travail,,13.0
are based spaor will to relocate:select an option^yes^no,,13.0
functional testing,,13.0
briefly describe how your experience applies to the job description for this role.,,13.0
apache oozie,,13.0
what are your annual salary expectations,,13.0
"condition employment clinicalmind, must be fully vaccinated against covid-19, unless a reasonable accommodation for a bona fide medical or religious reason is requested and an accommodation from the vaccination requirement can be granted without undue hardship to the company. would be able to comply this condition:yes^no",,13.0
"will now, or the future require sponsorship to legally work the country where this role is based:select an option^no^yes",,13.0
can work evenings:yes^no,,13.0
completed the following level education master's degree:yes^no,,13.0
how much compensation are looking for this role,,13.0
references please enter names and contact information,,13.0
laptops,,13.0
"150 characters or fewer, tell us what makes unique. try to be creative and say something that will catch our eye!",,13.0
are legally able to travel withthe us and canada:select an option^yes^no,,13.0
bash,,12.0
"by checking this box, will declare that read and understand the reitmans (canada) ltée/ltd privacy policy, and the smartrecruiters privacy policy and smartrecruiters  terms use.i agree terms & conditions",,12.0
time management,,12.0
were previously employed by sonder:select an option^no^yes,,12.0
maintaining / deploying / configuring apache/nginx,,12.0
how much  working / building out infrastructure aws ec2,,12.0
azure kubernetes service (aks),,12.0
indirizzo email:select an option^johnmiko4@gmail.com,,12.0
django rest framework,,12.0
working aws aurora / aws rds,,12.0
maintaining / deploying / configuring haproxy,,12.0
relational databases,,12.0
"how much  working on / configuring firewall rules (ex dnat, snat, routing)",,12.0
êtes-vous légalement autorisé à travailler au canada:yes^no,,12.0
javascript based technologies such as node.js.,,12.0
are a current sonder employee:select an option^no^yes,,12.0
maintaining / deploying / configuring servers automation tools like ansible,,12.0
worked a third party security company the past conducting pen tests then going through remediation:select an option^yes^no,,12.0
coordinating tasks,,12.0
administering / setting up linux servers (ex linux ubuntu),,12.0
maintaining/deploying distributed relational database systems,,12.0
apollo graphql,,11.0
or  have,,11.0
are legally eligible to work the united states:yes^no,,11.0
worked on a software development team before sprints:select an option^yes^no,,11.0
are legally authorized to work for any employer this country:select an option^no^yes,,11.0
experience software development have,,11.0
building / working on web based saas (software service) solutions,,11.0
maven,,11.0
"experience web services, especially for facilitating interaction among multiple systems:select an option^yes^no",,11.0
experience the key services aws:yes^no,,11.0
real-time operating systems (rtos),,11.0
mulesoft anypoint platform,,11.0
the following license or certification microsoft certified systems administrator microsoft dynamics 365:yes^no,,11.0
webdriverio,,11.0
redux for state management a react app,,11.0
working styled components,,11.0
experience delphi:yes^no,,11.0
"disabilityform cc-305omb control number 1250-0005expires 5/31/2023why are being asked to complete this form:yes, i a disability, or a history/record having a disability^no, i don't a disability, or a history/record having a disability^i don't wish to answer",,11.0
level proficiency portuguese:select an option^none^conversational^professional^native or bilingual,,11.0
servicenow,,11.0
banking,,11.0
years c++ oop,,11.0
ibm iseries,,11.0
are a us citizen or green card holder:select an option^yes^no,,11.0
"by checking this box, will declare that read and understand the ubisoft privacy policy, and the smartrecruiters privacy policyand smartrecruiters terms use.i agree terms & conditions:i agree terms & conditions",,11.0
"are physically located north america, central america, or south america:select an option^yes^no",,11.0
linux servers (ex linux ubuntu) for running your applications,,11.0
i a physical disability:select an option^yes^no^i prefer to self-describe^i don't wish to answer,,10.0
nous devons pourvoir ce poste rapidement. pouvez-vous commencer immédiatement:oui^non,,10.0
5-10 years experience working the sustainable building design or energy sectors:select an option^yes^no,,10.0
level proficiency spanish:select an option^none^conversational^professional^native or bilingual,,10.0
¿cuántos años de experiencia tienes con angular,,10.0
currently reside the country this role is listed in:select an option^no^yes,,10.0
are authorized to work the country this role is listed in:select an option^no^yes,,10.0
"3) members visible minorities based on the definition below, are a member a visible minority:yes^no^i prefer not tosay",,10.0
docker,,10.0
consent to being contacted about this job via text/sms:yes^no,,10.0
4) to which gender identity most identify:male^female^transgender female^transgender male^gender variant/non-conforming^not listed^i prefer not to say,,10.0
are willing to relocate:yes^no,,10.0
speak portuguese or french,,10.0
"2) persons disabilities based on the definition below, are a person a disability:yes^no^i prefer not to say",,10.0
"knowledge mep systems, sustainable building design, and decarbonized energy systems:select an option^yes^no",,10.0
reside canada:yes^no,,10.0
"help us maintaan inclusive culture.we want anyone, anywhere to the same chance and opportunity to build a life they love and that they are proud of. we are proactive creating a belonging environment that anyone can be a part of. thoughtful, data-driven decision-making is core to this success. we ask these questions to strengthen our practices by data to identify and mitigate unconscious bias our hiring process.if choose to answer them, the responses are only used aggregate to help us identify areas for improvement our processes. your responses, or your choice to prefer not to say, will not be associated your application and will not any way be used the hiring decision. for one, thats illegal, and were really not into breaking the law. keep being awesome, and thank for considering work at medstack.1) indigenous peoples based on the definition below, are an indigenous person:yes^no^i prefer not to say",,10.0
are subject to a non-competition agreement or any other agreement which would preclude or restrict your employment at nerdwallet or any other nerdwallet subsidiary:select an option^no^yes,,10.0
"country citizenship, and require visa support to work this job location",,10.0
"the salary range for this position is $80,000 - $130,000 cad annually (addition to stock options, vacation, and other benefits), does that range work for you:yes^no",,10.0
"need, or will need the future, any immigration related support or sponsorship from nerdwallet order to begor continue employment nerdwallet:select an option^no^yes",,10.0
"your message to the hiring manager0/2,0002000 maximum characters allowed.",,9.0
ibm watson,,9.0
ibm db2,,9.0
"team leading  and what is the team size, are currently handling:select an option^yes^no",,9.0
are legally authorized to work as an employee canada for any employer:select an option^yes^no,,9.0
open source software,,9.0
demeurez-vous au canada:select an option^yes^no,,9.0
"salesforce commerce cloud (sfcc, demandware, site genesis)  have",,9.0
avez-vous déjà été employée chez reitmans (canada) ltd.:yes^no,,9.0
"are self-motivated to learn, gaexperience and give your best every day:select an option^yes^no",,9.0
are currently residing this country:select an option^no^yes,,9.0
worked at a startup:select an option^yes^no,,9.0
cascading style sheets (css),,9.0
flutter,,9.0
"are fully bilingual, french and english:select an option^yes^no",,9.0
advertising,,9.0
how would describe your level french:select an option^native or bilingual^full professional^professional working^limited working^elementary^i don't speak french,,9.0
the following license or certification amazon web services devops engineer - professional:yes^no,,9.0
how did hear about keyence and this opportunity,,9.0
microsoft dynamics 365,,9.0
level proficiency japanese:select an option^none^conversational^professional^native or bilingual,,9.0
há quantos anos você já usa python no trabalho,,9.0
microsoft dynamics,,9.0
"veteran statusinvitation for job applicants to self-identify u.s. veterana disabled veteran is one the followinga veteran the u.s. military, ground, naval or air service who is entitled to compensation (or who but for the receipt military retired pay would be entitled to compensation) under laws administered by the secretary veterans affairs; ora person who was discharged or released from active duty because a service-connected disability.a recently separated veteran means any veteran during the three-year period beginning on the date such veteran's discharge or release from active duty the u.s. military, ground, naval, or air service.an active duty wartime or campaign badge veteran means a veteran who served on active duty the u.s. military, ground, naval or air service during a war, or a campaign or expedition for which a campaign badge has been authorized under the laws administered by the department defense.an armed forces service medal veteran means a veteran who, while serving on active duty the u.s. military, ground, naval or air service, participated a united states military operation for which an armed forces service medal was awarded pursuant to executive order 12985.i identify as one or more the classifications protected veteran listed abovei am not a protected veterani don't wish to answer:i identify as one or more the classifications protected veteran listed above^i am not a protected veteran^i don't wish to answer",,9.0
quelles sont vos attentes salariales,,9.0
permanent us work authorization:yes^no,,9.0
"recent experience (i.e., withthe last two years) golang",,9.0
combien dannées dexpérience avez-vous en tant que ingénierie,,9.0
arcgis pro,,9.0
imis,,9.0
data modeling,,9.0
mining,,9.0
phone,,8.0
customer experience,,8.0
system configurations,,8.0
aviation,,8.0
financial services,,8.0
3+ years development experience the renewable energy industry:select an option^yes^no,,8.0
handynummer,,8.0
worked on data platform build from concept to finish:select an option^yes^no,,8.0
autocad,,8.0
highest educational qualification:bachelor's degree computers/mathematics/it as major subjects^master's degree computers/mathematics/it as major subjects^associate degree computers/mathematics/it as major subjects^others,,8.0
technical systems,,8.0
combien dannées dexpérience avez-vous en tant que technologies de linformation,,8.0
solid architecture data engineering skills:select an option^yes^no,,8.0
github,,8.0
data design architecture experience:select an option^yes^no,,8.0
what are your top 3 programming language,,8.0
any coding lange c~ / python / ruby etc..:select an option^yes^no,,8.0
¿cuántos años de experiencia tienes con sql,,8.0
test equipment,,8.0
"amazon web services (s3,emr)",,8.0
level proficiency eng:select an option^none^conversational^professional^native or bilingual,,8.0
vmware,,8.0
are legally authorised to work as an employee canada for any employer:select an option^yes^no,,8.0
¿cuántos años de experiencia tienes con react.js,,8.0
are a u.s. citizen or a permanent resident (green card):select an option^yes^no,,8.0
senior lead / management data experience:select an option^yes^no,,8.0
"by checking this box, will declare that read and agree to the smartrecruiters privacy policy and smartrecruiters  terms use.i agree terms & conditions",,8.0
accepteriez-vous de travailler à distance:oui^non,,8.0
salary expectation,,8.0
expected base salary (not including bonus) for this position,,8.0
very strong mysql:select an option^yes^no,,8.0
servlets,,7.0
experience as tibco admin,,7.0
will now or the future require immigration sponsorship by motive to work canada:select an option^no^yes,,7.0
currently a valid government canada secret security clearance:select an option^yes^no,,7.0
deploying and managing cloud-hosted application services,,7.0
got experience iot devices:select an option^yes^no,,7.0
junit,,7.0
"previous experience canadian customs, freight forwarding and/or transportation industry:select an option^yes^no",,7.0
sql server integration services (ssis),,7.0
name your three favorite programming languages or frameworks.,,7.0
are comfortable taking on an administrative role:select an option^yes^no,,7.0
"if are a current employee at elevation, been your current position at least 3 months:yes^no^n/a",,7.0
experience microservices/serverless architecture:select an option^yes^no,,7.0
experience typescript:select an option^yes^no,,7.0
active directory,,7.0
role at your current company,,7.0
"at the time offer, elevation requests a background check on all applicants. are willing to submit to a background check:yes^no",,7.0
informatica,,7.0
expected pay rate for this role,,7.0
completed a bachelor's degree canada:select an option^yes^no,,7.0
python programming language (not a scripting language),,7.0
programming  have,,7.0
how much experience networking,,7.0
will now or the future require sponsorship an employment visa:select an option^no^yes,,7.0
immigration status:us citizen^green card^ead^h1b^others,,7.0
"will you, now or anytime the future, require sponsorship:yes^no",,7.0
are legally eligible to work the country this job posting:select an option^yes^no,,7.0
"a bachelor's degree a technical field such as computer science, computer engineering or related field:select an option^yes^no",,7.0
computer literacy,,7.0
are a current employee elevation:yes^no,,7.0
integration,,7.0
demo reel (if applicable),,7.0
at least 2 years experience react:select an option^yes^no,,7.0
worked wipro earlier:select an option^yes^no,,7.0
are able to work from one the countries listed on the job posting without relocation assistance from mozilla:select an option^no^yes,,7.0
microsoft power apps,,7.0
"if given the opportunity to work us, when could start",,7.0
this is a contract role. are incorporated (or willing/eligible to incorporate once offer is confirmed):select an option^yes^no,,7.0
experience doing automated testing:select an option^yes^no,,7.0
working knowledge symfony and/or magento:select an option^no^yes,,7.0
"if selected other the question above, please indicate which school attended",,7.0
can work overtime:yes^no,,7.0
experience system design,,7.0
currently reside canada:select an option^yes^no,,7.0
.net,,7.0
knowledge/experience api,,7.0
"are now or ever worked for any gty technology company (bonfire, citybase, ecivis, questica, sherpa, open counter):select an option^yes^no",,7.0
experience cloud and spotfire,,7.0
are currently authorized to work the united states for any employer:yes^no,,7.0
what are your annual (yearly) salary expectations,,7.0
experience all phases software development life cycle:select an option^yes^no,,7.0
"an msc/phd or equivalent chemistry, physics, mathematics, or structural biology, a strong programming background:select an option^yes^no",,7.0
are a former employee elevation:yes^no,,7.0
"a degree computer science, software engineering or equivalent experience:select an option^yes^no",,7.0
a computer science related bachelors degree:select an option^yes^no,,7.0
demo reel password (if applicable),,7.0
storage area network (san),,7.0
